iter	RMSE
552	0.8175977653
553	0.8161010652
554	0.8152000404
555	0.8144587183
556	0.8137005089
557	0.8136377445
558	0.8130315092
559	0.812748048
560	0.8127058819
561	0.8123626585
562	0.8117962243
563	0.8110547218
564	0.8105513046
565	0.8095826653
566	0.808814238
567	0.8079446213
568	0.8071810784
569	0.8056694247
570	0.8047239011
571	0.8036876524
572	0.8036264836
573	0.8028460832
574	0.8020141539
575	0.8015388196
576	0.8006453247
577	0.8005782053
578	0.7999598988
579	0.7984811457
580	0.7984100964
581	0.7974792043
582	0.796420269
583	0.7961122932
584	0.7952690385
585	0.7940161514
586	0.7937825255
587	0.7929357007
588	0.7924133542
589	0.7922015997
590	0.7909196301
591	0.7904222518
592	0.7898197207
593	0.7894173142
594	0.7885294454
595	0.7872149395
596	0.7870843616
597	0.78612047
598	0.7858691417
599	0.7856711864
600	0.7854266716
601	0.7841597845
602	0.7832018066
603	0.7820063043
604	0.7810065892
605	0.780538715
606	0.7801048413
607	0.7794468549
608	0.7786814373
609	0.7775850123
610	0.7775469121
611	0.7775062608
612	0.7765363533
613	0.7755468278
614	0.7755035396
615	0.7746046832
616	0.7738926475
617	0.7730366812
618	0.7721544891
619	0.7712327106
620	0.7708240305
621	0.7706699487
622	0.7704220852
623	0.7703761682
624	0.7703361283
625	0.7692731868
626	0.7689986173
627	0.7679519137
628	0.767276808
629	0.76699971
630	0.7660456192
631	0.7645855383
632	0.7642877998
633	0.7635309622
634	0.7626741526
635	0.7617419699
636	0.7610357018
637	0.7604258264
638	0.7592503247
639	0.7588169533
640	0.7573015947
641	0.7563839608
642	0.7561804871
643	0.7557718304
644	0.7551849981
645	0.7547952546
646	0.7530000102
647	0.7528578277
648	0.7527414758
649	0.7523803823
650	0.7522921436
651	0.7517603841
652	0.7514663562
653	0.7512362837
654	0.750393348
655	0.749720786
656	0.7494876866
657	0.7489160375
658	0.7485989077
659	0.7475112202
660	0.7474270261
661	0.7461923989
662	0.7456094007
663	0.7443271497
664	0.7432186184
665	0.7420188629
666	0.7409071114
667	0.7403373591
668	0.7392966594
669	0.7380250731
670	0.7377877137
671	0.7377575202
672	0.7377279563
673	0.7373085282
674	0.7369671025
675	0.7361997279
676	0.7348005007
677	0.7338065828
678	0.7324064917
679	0.731985428
680	0.7312304156
681	0.7305771964
682	0.7299452382
683	0.7290099378
684	0.7285067846
685	0.7276389909
686	0.7265196143
687	0.7257625593
688	0.7253649093
689	0.7246127272
690	0.7239279594
691	0.723122548
692	0.7228272585
693	0.7218831195
694	0.7206913633
695	0.7196941684
696	0.7188869919
697	0.7182715898
698	0.717390527
699	0.716467356
700	0.715873485
701	0.7151619911
702	0.7143539046
703	0.7131273528
704	0.7130979386
705	0.7125436293
706	0.7115362078
707	0.710662025
708	0.7101333491
709	0.7099440058
710	0.7089738253
711	0.7088773979
712	0.708550893
713	0.7075070613
714	0.7068715698
715	0.7068073025
716	0.7064874625
717	0.7054117421
718	0.705022714
719	0.7044861064
720	0.7044584375
721	0.7031835339
722	0.702864568
723	0.7019268416
724	0.7008688118
725	0.7003897793
726	0.699908751
727	0.6990559832
728	0.6985840539
729	0.6982385314
730	0.6979386408
731	0.697363145
732	0.6965133049
733	0.696459635
734	0.6960611052
735	0.6953604543
736	0.6943568098
737	0.6935359708
738	0.6928014233
739	0.6921146277
740	0.6917648065
741	0.69146556
742	0.6909908642
743	0.6907557256
744	0.6902446715
745	0.6899074788
746	0.6888929916
747	0.6886035636
748	0.6885730654
749	0.6880641057
750	0.6878754422
751	0.6871487556
752	0.6867652152
753	0.6860785214
754	0.685950227
755	0.6850921668
756	0.6843148448
757	0.684001616
758	0.6836310718
759	0.6825259653
760	0.6820164671
761	0.6819776785
762	0.6809012997
763	0.6802232811
764	0.6800483037
765	0.6799061647
766	0.6791960318
767	0.6783499721
768	0.6779884873
769	0.6776763524
770	0.6766913264
771	0.6759960788
772	0.6756828143
773	0.6752470924
774	0.6744320808
775	0.6736177305
776	0.6726712033
777	0.6722462913
778	0.6715708996
779	0.6711818257
780	0.6699719067
781	0.6691488944
782	0.6688805594
783	0.6685073382
784	0.6679981626
785	0.6675626702
786	0.6665615475
787	0.6664855976
788	0.6657463512
789	0.664931304
790	0.664824221
791	0.6643600931
792	0.6638952632
793	0.6636072891
794	0.6629536994
795	0.6619790494
796	0.6617242104
797	0.6616534131
798	0.6605997763
799	0.660389893
800	0.6597891215
801	0.6591690832
802	0.6587860904
803	0.6581537324
804	0.6577652554
805	0.6565998132
806	0.6559428025
807	0.6558681063
808	0.6552088054
809	0.6545337192
810	0.6543240923
811	0.6541039764
812	0.6537510331
813	0.6535187592
814	0.6534071764
815	0.6527397089
816	0.6517621544
817	0.6516073388
818	0.6514191783
819	0.6513499609
820	0.6510774886
821	0.6506234789
822	0.6502742816
823	0.6501959193
824	0.6498846636
825	0.6496532699
826	0.6488632343
827	0.6486710876
828	0.6484781753
829	0.6474439972
830	0.6461076286
831	0.6453155744
832	0.6451462495
833	0.6446882335
834	0.6438087564
835	0.6435596592
836	0.6433750966
837	0.6428023173
838	0.6421223569
839	0.6415004694
840	0.6411723136
841	0.6403258558
842	0.6401767891
843	0.6398922846
844	0.6396224342
845	0.6387491358
846	0.6382868504
847	0.6374333242
848	0.6368228855
849	0.6365089706
850	0.635532823
851	0.6344183269
852	0.6337935947
853	0.6336238217
854	0.632689242
855	0.6322273214
856	0.631650615
857	0.6310264699
858	0.6301091251
859	0.6295176004
860	0.629200905
861	0.6283537424
862	0.6274760074
863	0.6267500353
864	0.6263370812
865	0.6259617119
866	0.6254132457
867	0.6252058611
868	0.6246984497
869	0.624267293
870	0.6239163981
871	0.623404926
872	0.6227838367
873	0.6223908127
874	0.6221333743
875	0.6213583556
876	0.6210657161
877	0.6204544674
878	0.6198560014
879	0.6192206039
880	0.6187481357
881	0.6181804583
882	0.617945037
883	0.6178536565
884	0.6173432815
885	0.6172296388
886	0.6163606606
887	0.6155779344
888	0.6147926773
889	0.6145273268
890	0.6143645225
891	0.6143016325
892	0.6135200619
893	0.6130039097
894	0.6125826499
895	0.6119083103
896	0.611116806
897	0.6105033917
898	0.609737308
899	0.6091936143
900	0.6085878977
901	0.6081562303
902	0.6074497119
903	0.6068802277
904	0.6063486207
905	0.6061204673
906	0.6054167795
907	0.6047235203
908	0.6037934861
909	0.603616757
910	0.6029820483
911	0.6021592278
912	0.6016332684
913	0.6013050875
914	0.6010804297
915	0.600371243
916	0.5997645063
917	0.5994188415
918	0.5989218083
919	0.5987015564
920	0.5985908793
921	0.5982198474
922	0.5976532934
923	0.5969444232
924	0.5969222437
925	0.5965284585
926	0.5959295543
927	0.5953430496
928	0.5943125386
929	0.5936237812
930	0.592926599
931	0.5919724207
932	0.5914291866
933	0.5908424237
934	0.59042228
935	0.5901034259
936	0.5900457746
937	0.5893757879
938	0.5890904028
939	0.5884175317
940	0.5878109848
941	0.5873796761
942	0.5867419208
943	0.5864746715
944	0.5861785178
945	0.585739966
946	0.5849423199
947	0.5848106334
948	0.5841300655
949	0.5838864061
950	0.5836834211
951	0.5831603673
952	0.5824683669
953	0.5818367753
954	0.5815145863
955	0.5814367237
956	0.581391705
957	0.5810322225
958	0.5810050643
959	0.5805914412
960	0.5796693108
961	0.5793115199
962	0.5786875692
963	0.5785507711
964	0.5778071741
965	0.5772027157
966	0.5767546434
967	0.5765550173
968	0.5765323157
969	0.57635492
970	0.5758630449
971	0.5753330053
972	0.5752550272
973	0.5749852394
974	0.5745115237
975	0.5737838228
976	0.5732753816
977	0.5727023264
978	0.5718956791
979	0.5717644154
980	0.5716325952
981	0.5712159985
982	0.5708021257
983	0.5705480571
984	0.5703245194
985	0.5697239057
986	0.5688223424
987	0.5681924562
988	0.5676106269
989	0.5670495368
990	0.5669493485
991	0.5669302087
992	0.5664463797
993	0.5659726704
994	0.5659064038
995	0.5654461121
996	0.5652332132
997	0.5649087278
998	0.5644862401
999	0.5638590715
